Countries,GDP,Connections
France,2710000000000,96
United Kingdom,2970000000000,79
United Arab Emirates,421000000000,75
United States,21430000000000,74
Italy,2000000000000,66
Germany,3850000000000,66
China,14500000000000,58
Canada,1730000000000,52
Morocco,119000000000,49
India,2950000000000,39
Finland,276000000000,38
Netherlands,909000000000,37
Spain,1410000000000,34
Norway,400000000000,34
Greece,218000000000,33
Russia,1680000000000,31
Sweden,530000000000,31
Hong Kong,362000000000,30
Panama,66600000000,30
Denmark,354000000000,30
Latvia,35000000000,30
Belgium,530000000000,29
Switzerland,705000000000,28
Ireland,385000000000,28
Belarus,63000000000,28
Thailand,544000000000,27
Malaysia,364000000000,27
Austria,455000000000,27
Algeria,178000000000,26
Taiwan,650000000000,25
Turkey,761000000000,25
Mexico,1200000000000,24
Colombia,327000000000,23
Japan,5080000000000,22
Senegal,25000000000,21
Singapore,487000000000,21
South Korea,1690000000000,21
Cyprus,28400000000,20
Saudi Arabia,792000000000,20
Kenya,95000000000,20
Dominican Republic,87800000000,20
Portugal,235000000000,20
Peru,229000000000,19
Brazil,1830000000000,18
Argentina,449000000000,18
Israel,400000000000,17
Cuba,100000000000,17
Angola,88300000000,17
Egypt,362000000000,16
Bangladesh,347000000000,16
Poland,595000000000,16
South Africa,351000000000,16
Philippines,367000000000,15
Nigeria,450000000000,15
Czech Republic,248000000000,15
Trinidad and Tobago,23000000000,15
Puerto Rico,131000000000,15
Australia,1400000000000,14
Venezuela,65000000000,14
Ghana,67500000000,13
Hungary,170000000000,13
Moldova,11900000000,13
Qatar,166000000000,13
Burkina Faso,15000000000,12
Benin,10500000000,12
Vietnam,262000000000,12
Costa Rica,61700000000,12
Georgia,17700000000,12
Jamaica,15100000000,12
El Salvador,27300000000,12
Cote d'Ivoire,71100000000,11
Guinea,11000000000,11
Guadeloupe,9079000000,11
Libya,50000000000,11
Jordan,45100000000,11
Cameroon,42700000000,10
Burma,76000000000,10
Antigua and Barbuda,1868000000,10
Guatemala,79200000000,10
Brunei,13100000000,10
Chile,326000000000,10
Ukraine,153000000000,10
Bulgaria,68000000000,10
Mali,18200000000,9
Bahamas,12200000000,9
Martinique,9082000000,9
Tunisia,40000000000,9
Kazakhstan,170000000000,9
Barbados,5310000000,9
Malta,16100000000,9
Azerbaijan,40400000000,8
Ecuador,107000000000,8
Sierra Leone,4600000000,8
Cambodia,27400000000,8
Croatia,62000000000,8
Serbia,51700000000,8
Indonesia,1080000000000,8
Honduras,24200000000,8
Tajikistan,8700000000,8
Romania,250000000000,8
Kuwait,144000000000,8
Lithuania,54000000000,8
Congo (Kinshasa),47800000000,8
Lebanon,57500000000,8
Zambia,23000000000,8
Aruba,3545000000,7
Saint Lucia,1900000000,7
Uruguay,59500000000,7
Sri Lanka,87100000000,7
Mauritius,14600000000,7
Maldives,5300000000,7
Liberia,3380000000,6
Gambia,1100000000,6
Belize,1800000000,6
Iran,454000000000,6
Bolivia,40800000000,6
Uganda,34000000000,6
Zimbabwe,21000000000,6
Congo (Brazzaville),11200000000,6
Gabon,17000000000,6
Equatorial Guinea,13800000000,6
Togo,5760000000,5
Guinea-Bissau,1380000000,5
Tanzania,64000000000,5
Macau,5500000000,5
Paraguay,42400000000,5
Armenia,13100000000,5
Haiti,10500000000,5
New Zealand,206000000000,5
Rwanda,10000000000,5
Cape Verde,1800000000,5
